x1,y1,z1,x2,y2,z2
-19.9997,-0.0325337,-7.0053,-20.2001,-0.0217506,-7.07044
-19.6052,-3.95437,-0.681726,-19.7995,-4.00261,-1.98505
-19.8048,-2.78615,-5.32532,-20.0014,-2.82626,-5.37787
-19.7051,-3.42187,-3.66145,-19.9034,-3.44827,-2.84344
-19.8112,-2.74252,-3.63418,-20.007,-2.78377,-3.67053
-19.8232,-2.65323,-1.14093,-20.0226,-2.6716,-4.99268
-19.1792,-5.67107,-6.93251,-19.3702,-5.7305,-7.39075
-18.3076,-8.05183,-8.77552,-18.494,-8.12493,-8.47729
-19.9488,-1.43033,-4.65281,-20.1486,-1.4401,-5.80949
-18.3904,-7.86088,-8.42889,-18.5784,-7.92989,-8.8746
-19.7044,-3.42634,-1.3393,-19.9034,-3.44827,-2.84344
-19.058,-6.06562,-9.59511,-19.2522,-6.11524,-9.88472
-18.0496,-8.61456,-9.61667,-18.2336,-8.69351,-9.66467
-19.9788,-0.922105,-2.12525,-20.1784,-0.939637,-9.20585
-19.9484,-1.43896,-5.74993,-20.1486,-1.4401,-5.80949
-19.0349,-6.13844,-2.72951,-19.2232,-6.20554,-2.029
-19.0349,-6.13844,-2.72951,-19.2276,-6.19153,-2.75895
-18.0553,-8.60276,-6.91514,-18.2419,-8.67562,-6.98232
-18.0553,-8.60276,-6.91514,-18.2336,-8.69351,-9.66467
-19.0345,-6.13909,-4.93957,-19.2232,-6.20554,-2.029
-19.0345,-6.13909,-4.93957,-19.2276,-6.19153,-2.75895
-19.5207,-4.35229,-8.25963,-19.7145,-4.40233,-1.37676
-17.8608,-8.99957,-8.11794,-18.0349,-9.09838,-9.45335
-17.8608,-8.99957,-8.11794,-18.0326,-9.10303,-8.20046
-19.0261,-6.16482,-9.78318,-19.2129,-6.23725,-4.98997
-19.8127,-2.73014,-4.94583,-20.0121,-2.7486,-1.15431
-18.187,-8.32052,-2.53377,-18.3671,-8.40767,-0.435607
-18.5106,-7.5733,-6.45548,-18.6985,-7.64241,-6.40468
-18.5617,-7.44736,-6.32734,-18.7515,-7.5112,-0.0793314
-17.7567,-9.20347,-7.40215,-17.93,-9.30292,-7.4758
-19.8038,-2.79462,-0.936772,-20.0014,-2.82626,-5.37787
-34.3845,-6.53592,-9.2701,-34.5764,-6.59601,-9.32276
-34.3845,-6.53592,-9.2701,-34.5844,-6.5553,-6.4057
-34.3916,-6.49615,-6.36907,-34.5844,-6.5553,-6.4057
-34.9992,-0.23642,-0.171402,-35.199,-0.250773,-8.39162
-34.0323,-8.17323,-0.129413,-34.2324,-8.19636,-0.459186
-34.999,-0.225817,-8.34433,-35.199,-0.250773,-8.39162
-34.3861,-6.52652,-4.25017,-34.5844,-6.5553,-6.4057
-49.5216,-6.89952,-4.41919,-49.7214,-6.91514,-1.13337
-19.8477,-2.46378,1.7685,-20.0478,-2.4758,8.13276
-19.9839,-0.798776,0.169431,-20.1844,-0.794007,0.173345
-17.9251,-8.8709,1.07402,-18.108,-8.95195,7.71411
-17.9251,-8.8709,1.07402,-18.1013,-8.96573,2.29797
-19.996,-0.398798,7.10043,-20.1958,-0.414724,5.17723
-19.8006,-2.81575,1.97176,-20.0008,-2.83102,1.99091
-17.9205,-8.87993,7.64106,-18.1013,-8.96573,2.29797
-18.2304,-8.22522,1.57169,-18.4174,-8.29687,1.42844
-18.892,-6.56461,6.34431,-19.0778,-6.63888,3.62475
-19.8142,-2.71986,2.77926,-20.0144,-2.73217,2.80315
-19.9819,-0.852125,5.4649,-20.1812,-0.872971,1.66349
-19.293,-5.27037,7.13955,-19.4897,-5.30961,5.34886
-19.8485,-2.4574,1.32977,-20.0478,-2.4758,8.13276
-18.9195,-6.48404,5.95107,-19.1135,-6.53659,6.01345
-18.9195,-6.48404,5.95107,-19.1045,-6.56155,1.72971
-19.9941,-0.48598,5.11866,-20.1939,-0.496898,5.82828
-19.8894,-2.09958,3.46144,-20.0866,-2.13553,3.49425
-18.9237,-6.47277,1.70796,-19.1135,-6.53659,6.01345
-19.7624,-3.0734,9.34645,-19.9583,-3.1143,2.47722
-34.8379,-3.36429,3.40717,-35.0392,-3.36343,3.42637
-34.8874,-2.80804,4.57565,-35.0885,-2.79773,4.59963
-34.8403,-3.33949,3.33449,-35.0392,-3.36343,3.42637
-34.4411,-6.22971,4.25912,-34.6365,-6.27321,8.49747
-34.7366,-4.28608,3.33946,-34.9342,-4.318,5.09861
-34.7366,-4.28608,3.33946,-34.9323,-4.33307,6.78076
-34.5611,-5.52497,5.92919,-34.7578,-5.56145,7.65129
-34.5611,-5.52497,5.92919,-34.7546,-5.58053,5.96214
-49.9273,-2.69866,4.848,-50.1285,-2.68152,4.86726
-49.986,-1.18377,6.38543,-50.1867,-1.15044,6.40966
-19.0472,-6.09982,14.6125,-19.2352,-6.16865,10.6876
-19.3609,-5.01705,18.3626,-19.5513,-5.07733,18.5511
-17.8414,-9.03853,18.7342,-18.0226,-9.12227,18.9294
-18.7304,-7.0124,18.248,-18.9203,-7.07541,16.4703
-19.9999,-0.0899535,14.1367,-20.1998,-0.0893617,14.5111
-19.9907,-0.612999,17.8971,-20.1907,-0.611597,11.0304
-19.7297,-3.27727,10.2999,-19.9257,-3.31712,10.7956
-19.8703,-2.27548,15.1376,-20.0674,-2.31134,15.286
-19.1182,-5.87287,15.9941,-19.3083,-5.93563,16.36
-19.8572,-2.38526,11.0778,-20.0544,-2.4214,10.6784
-19.9637,-1.2055,15.6917,-20.1633,-1.21702,12.6754
-34.9757,-1.29728,10.6633,-35.1747,-1.33019,10.7231
-34.8134,-3.60875,11.89,-35.01,-3.65277,15.4512
-34.9971,-0.424296,19.5046,-35.1976,-0.436591,19.6176
-34.9844,-1.0443,13.0002,-35.1843,-1.0522,10.7624
-34.9829,-1.0931,10.7001,-35.182,-1.12331,13.0774
-34.151,-7.66284,13.9687,-34.3409,-7.72939,14.7873
-34.3723,-6.59846,18.2052,-34.5658,-6.65156,13.744
-49.068,-9.60896,19.7491,-49.2599,-9.66966,19.0802
-49.7866,-4.61378,15.1673,-49.9823,-4.66968,15.2277
-109.998,-0.7406,18.7563,-110.397,-0.849579,18.8245
-109.997,-0.809472,17.0318,-110.397,-0.849579,18.8245
-19.1822,-5.66105,25.3829,-19.37,-5.73116,25.6306
-19.3697,-4.98132,22.0427,-19.5607,-5.04214,27.1706
-19.998,-0.290497,26.5376,-20.1977,-0.303394,28.9994
-19.9994,-0.154377,21.7639,-20.1993,-0.150579,28.7893
-19.9996,-0.106366,28.5011,-20.1997,-0.105582,21.9795
-19.9447,-1.48504,26.5468,-20.1446,-1.494,28.4736
-19.542,-4.25516,28.184,-19.7348,-4.31108,24.5227
-33.9166,-8.64056,20.261,-34.1114,-8.68617,20.8138
-33.9398,-8.54906,20.6881,-34.1325,-8.60283,20.3826
-34.5186,-5.78482,26.3051,-34.7115,-5.84276,26.4544
-34.5186,-5.78482,26.3051,-34.7195,-5.7962,27.8742
-34.5228,-5.75976,23.6103,-34.7195,-5.7962,27.8742
-49.4411,-7.45555,26.0839,-49.6435,-7.45408,24.7723
-49.9442,-2.36213,29.8774,-50.1438,-2.3748,21.9642
-49.893,-3.2687,26.6609,-50.0913,-3.30447,29.1054
-49.9506,-2.22203,21.5416,-50.1505,-2.22724,30.0141
-49.97,-1.74436,27.9613,-50.1685,-1.76736,28.0738
-49.9561,-2.09405,21.8352,-50.1559,-2.1052,21.6375
-49.9456,-2.33315,26.1715,-50.1438,-2.3748,21.9642
-84.5179,-9.04094,26.4939,-84.9286,-8.96256,26.6236
-109.308,-6.72082,23.6657,-110.194,-6.74787,27.412
-18.4798,-7.64856,31.4691,-18.6616,-7.73184,33.8483
-18.2522,-8.17665,39.9696,-18.4291,-8.27098,39.1073
-18.486,-7.63327,33.5199,-18.6762,-7.69667,38.2186
-19.1098,-5.90063,36.8577,-19.3032,-5.95211,30.4569
-34.8841,-2.84627,31.7266,-35.0852,-2.8397,33.6779
-69.8369,-4.77008,39.2688,-70.2333,-4.8455,39.4958
-109.985,-1.78018,34.7215,-110.388,-1.62414,34.8555
-19.1426,-5.79304,42.5822,-19.3307,-5.86237,44.5094
-19.3047,-5.22745,46.4236,-19.494,-5.29437,46.8851
-19.7903,-2.88752,49.1848,-19.9892,-2.91097,43.8405
-19.7057,-3.4183,44.8611,-19.9008,-3.46398,45.2996
-18.3805,-7.88399,44.2421,-18.5649,-7.96168,47.8057
-19.9997,-0.055437,44.8897,-20.1999,-0.0536606,41.6669
-19.9997,-0.055437,44.8897,-20.2001,-0.0467186,45.339
-34.6977,-4.59021,49.0385,-34.8962,-4.61485,42.7836
-84.6237,-7.99177,47.7833,-85.016,-8.0888,48.0106
-19.3499,-5.05828,59.0062,-19.5471,-5.09429,59.5906
-34.4998,-5.89599,58.096,-34.696,-5.93522,50.881
-18.8476,-6.69023,68.791,-19.04,-6.7467,70.5274
-18.4128,-7.80785,67.5776,-18.6026,-7.87267,68.2485
-19.7313,-3.26738,64.0343,-19.9297,-3.29316,69.371
-34.9618,-1.63346,64.1299,-35.1602,-1.6694,64.5021
-69.9979,-0.554834,66.5614,-70.3969,-0.653225,66.9493
-34.1532,-7.65272,77.8293,-34.343,-7.72021,78.2703
-49.938,-2.49203,81.43,-50.1359,-2.53614,84.9746
-84.8519,-5.01819,81.2091,-85.2441,-5.159,81.6024
-84.7944,-5.90764,89.5378,-85.2014,-5.82028,83.2616
-19.6247,-3.85781,98.5991,-19.8229,-3.88371,99.6017
-19.9688,-1.11562,92.0594,-20.1685,-1.13348,92.9773
-11.8585,-16.105,-107.825,-11.9856,-16.2601,-108.901
-15.8179,-12.2391,-100.838,-15.9774,-12.3598,-105.402
-15.7604,-12.3129,-105.766,-15.9087,-12.448,-105.54
-33.2699,-10.868,-102.252,-33.4668,-10.9096,-108.142
-84.1983,-11.6457,-103.022,-84.5904,-11.7311,-106.598
-84.2093,-11.5664,-106.085,-84.5904,-11.7311,-106.598
-15.3018,-12.8785,-97.3653,-15.462,-12.9983,-98.3481
-13.7074,-14.564,-94.0413,-13.8338,-14.7199,-94.9939
-16.9007,-10.6942,-96.4335,-17.0629,-10.8118,-99.2043
-32.2874,-13.5097,-93.0024,-32.4817,-13.564,-93.5343
-17.255,-10.1127,-87.3802,-17.432,-10.2061,-89.4786
-16.4344,-11.3977,-81.6759,-16.6067,-11.5001,-82.4807
-15.0639,-13.1561,-80.0704,-15.2094,-13.2936,-80.8559
-15.5332,-12.5984,-88.9647,-15.6807,-12.7339,-87.2477
-32.8636,-12.041,-88.4919,-33.044,-12.1301,-89.006
-32.8086,-12.1897,-87.7636,-32.9884,-12.2804,-83.8825
-32.8086,-12.1897,-87.7636,-32.9898,-12.2765,-89.0689
-11.2638,-16.5267,-72.0575,-11.368,-16.6975,-72.7856
-33.3307,-10.68,-74.1063,-33.5164,-10.7559,-75.6348
-31.9288,-14.3369,-77.1495,-32.102,-14.4399,-79.3019
-33.3755,-10.5393,-79.2443,-33.5658,-10.6006,-74.5972
-82.8246,-19.1055,-78.5507,-83.1844,-19.3271,-78.9357
-12.8023,-15.3655,-63.7148,-12.92,-15.5278,-68.8971
-11.2763,-16.518,-68.8473,-11.3999,-16.6758,-63.7785
-12.2746,-15.7907,-67.0412,-12.4064,-15.9413,-67.7061
-15.5703,-12.5526,-65.2467,-15.727,-12.6767,-68.949
-48.9855,-10.0207,-60.1141,-49.1884,-10.0256,-60.3557
-68.7207,-13.3216,-65.1814,-69.1317,-13.3029,-69.8676
-69.0159,-11.6972,-64.2648,-69.3919,-11.8723,-64.6427
-68.7818,-13.0017,-69.4299,-69.1673,-13.1164,-65.6101
-14.3932,-13.8867,-59.3522,-14.5474,-14.0146,-51.4155
-17.329,-9.9853,-58.8998,-17.4971,-10.0941,-59.1258
-15.8878,-12.1482,-50.8823,-16.0493,-12.2661,-56.778
-17.3454,-9.95673,-58.5356,-17.525,-10.0456,-59.0657
-12.8835,-15.2979,-50.8583,-13.0211,-15.4429,-51.35
-32.6335,-12.6516,-55.5337,-32.8105,-12.7475,-55.8477
-48.9598,-10.1458,-54.4982,-49.1509,-10.2094,-50.4212
-13.8399,-14.4384,-47.3594,-13.9867,-14.5742,-47.8339
-33.8738,-8.80705,-45.0088,-34.0673,-8.85797,-42.297
-33.8672,-8.83152,-42.0567,-34.0673,-8.85797,-42.297
-48.3968,-12.5599,-44.4713,-48.5981,-12.5803,-48.9491
-16.9424,-10.6281,-39.9096,-17.1136,-10.7316,-39.9801
-13.0107,-15.1895,-36.8994,-13.1457,-15.3373,-36.3173
-15.7868,-12.2792,-33.5453,-15.9505,-12.3942,-38.4492
-13.3588,-14.8842,-32.5405,-13.501,-15.0253,-34.2721
-13.3313,-14.9089,-33.9318,-13.4582,-15.0638,-32.8823
-13.3313,-14.9089,-33.9318,-13.4717,-15.0518,-35.5596
-13.812,-14.4647,-35.8199,-13.9511,-14.6085,-31.3017
-31.208,-15.8448,-35.7572,-31.387,-15.934,-36.0166
-17.0818,-10.4025,-22.0711,-17.2604,-10.4936,-20.371
-12.0915,-15.931,-26.8251,-12.2085,-16.0933,-23.2047
-16.4706,-11.3452,-22.4591,-16.6276,-11.4697,-22.6856
-13.7052,-14.5659,-28.6651,-13.8353,-14.7182,-28.121
-14.6788,-13.5842,-21.0145,-14.8216,-13.7242,-24.9055
-11.1795,-16.5836,-26.6749,-11.2816,-16.7561,-26.0286
-16.5787,-11.1869,-20.5952,-16.7422,-11.3021,-24.9214
-12.3148,-15.7592,-24.2224,-12.4386,-15.9161,-25.5837
-12.3148,-15.7592,-24.2224,-12.4489,-15.908,-24.4631
-31.5343,-15.1846,-29.5531,-31.7204,-15.2595,-21.3643
-32.682,-12.5255,-28.2886,-32.8706,-12.5923,-26.6057
-46.6868,-17.8982,-22.7209,-46.8633,-17.9962,-22.1465
-48.6355,-11.6014,-23.1314,-48.8224,-11.6796,-25.6924
-83.7111,-14.7465,-27.3355,-84.0949,-14.8729,-20.4173
-83.721,-14.6899,-20.3197,-84.0949,-14.8729,-20.4173
-12.8281,-15.344,-13.6746,-12.9493,-15.5034,-10.5842
-16.8214,-10.8186,-11.0391,-16.9936,-10.9207,-14.218
-15.78,-12.2879,-13.1666,-15.9379,-12.4107,-15.5376
-15.78,-12.2879,-13.1666,-15.9309,-12.4196,-11.7335
-13.15,-15.069,-15.7449,-13.2799,-15.2212,-19.5575
-12.161,-15.878,-10.4546,-12.2742,-16.0429,-10.5565
-16.6816,-11.0329,-12.8279,-16.8414,-11.1539,-16.3635
-12.6316,-15.5062,-15.2459,-12.7537,-15.6648,-10.2951
-17.0725,-10.4175,-10.8666,-17.2403,-10.5268,-16.6531
-14.705,-13.5557,-10.3192,-14.8587,-13.6843,-13.0332
-12.7155,-15.4374,-19.2565,-12.8354,-15.5981,-19.446
-16.4496,-11.3758,-14.3869,-16.619,-11.4824,-16.1865
-16.6924,-11.0167,-16.1956,-16.8649,-11.1182,-12.96
-13.2618,-14.9708,-17.8123,-13.3854,-15.1285,-13.4592
-13.2618,-14.9708,-17.8123,-13.4042,-15.1117,-16.5727
-12.6049,-15.5281,-10.1965,-12.7392,-15.6765,-15.3985
-17.4067,-9.84916,-18.6799,-17.581,-9.94718,-11.2598
-17.4067,-9.84916,-18.6799,-17.5875,-9.93582,-18.8357
-16.4604,-11.3603,-13.1837,-16.619,-11.4824,-16.1865
-16.8276,-10.8089,-10.9016,-16.9936,-10.9207,-14.218
-13.2469,-14.9839,-16.4083,-13.3722,-15.1401,-11.5852
-13.2469,-14.9839,-16.4083,-13.3854,-15.1285,-13.4592
-12.9189,-15.2676,-10.4667,-13.0491,-15.4195,-15.7246
-17.4247,-9.8169,-18.6446,-17.6041,-9.90624,-18.8711
-33.735,-9.32455,-18.2628,-33.935,-9.35239,-14.1296
-48.5901,-11.7903,-13.239,-48.7762,-11.8704,-13.292
-69.0336,-11.5937,-10.1714,-69.4423,-11.5718,-10.2317
-68.849,-12.641,-15.7127,-69.256,-12.64,-19.0082
-84.4061,-10.0286,-12.4488,-84.8167,-9.9657,-12.51
-84.4077,-10.0169,-19.242,-84.8167,-9.9657,-12.51
-13.6272,-14.6394,-0.405964,-13.7719,-14.7778,-0.414309
-14.8522,-13.3944,-3.48516,-14.9999,-13.5292,-6.38015
-14.8456,-13.4019,-1.66482,-14.9999,-13.5292,-6.38015
-17.0586,-10.4405,-4.39237,-17.2244,-10.553,-9.80402
-13.0887,-15.1225,-4.3093,-13.2256,-15.2683,-6.88476
-16.2775,-11.6212,-4.4611,-16.448,-11.7267,-4.5086
-15.2033,-12.9946,-2.15149,-15.3541,-13.1261,-9.87637
-12.45,-15.6525,-2.6359,-12.5786,-15.8054,-2.66213
-15.6352,-12.4718,-8.90708,-15.798,-12.588,-8.99385
-15.6352,-12.4718,-8.90708,-15.796,-12.5908,-0.485095
-12.2391,-15.8178,-3.33897,-12.3698,-15.9696,-8.56964
-16.5091,-11.2894,-4.9801,-16.675,-11.4013,-0.896931
-16.2,-11.7286,-8.15985,-16.3629,-11.8446,-1.99205
-15.1822,-13.0191,-9.78129,-15.3317,-13.1522,-2.17646
-17.2673,-10.0916,-3.51101,-17.4465,-10.1814,-3.63462
-14.5979,-13.6712,-4.01257,-14.7402,-13.8119,-5.38488
-17.0591,-10.4396,-9.70973,-17.2244,-10.553,-9.80402
-15.4284,-12.7264,-1.33382,-15.5732,-12.8653,-10.019
-17.0552,-10.446,-5.83137,-17.2244,-10.553,-9.80402
-14.7804,-13.4738,-7.07404,-14.9307,-13.6057,-3.52814
-14.7804,-13.4738,-7.07404,-14.9269,-13.6098,-1.681
-32.44,-13.1392,-2.96799,-32.6252,-13.2149,-0.0380038
-33.5817,-9.86251,-8.60684,-33.7703,-9.92999,-9.02156
-31.0429,-16.166,-9.49442,-31.2144,-16.2694,-9.58851
-32.3896,-13.2634,-0.03469,-32.5356,-13.3448,-0.518981
-30.7603,-16.6975,-7.98846,-30.9404,-16.7851,-1.76642
-33.7015,-9.44386,-4.94532,-33.9,-9.47858,-4.97502
-31.3232,-15.6158,-7.03829,-31.4916,-15.7264,-8.84622
-33.2863,-10.8174,-7.24455,-33.4764,-10.8796,-0.848322
-48.6426,-11.5719,-9.11706,-48.8298,-11.6484,-9.15378
-48.6977,-11.3373,-7.17306,-48.8996,-11.3528,-7.20289
-68.7917,-12.9497,-5.9199,-69.193,-12.9802,-7.40315
-14.3484,-13.9326,2.29372,-14.4872,-14.077,2.58456
-16.742,-10.9411,1.16384,-16.9171,-11.0388,2.76633
-13.1386,-15.0789,5.30651,-13.2709,-15.229,0.962279
-13.1386,-15.0789,5.30651,-13.2813,-15.22,6.57266
-16.1458,-11.8031,9.11222,-16.3115,-11.9153,0.718582
-17.4133,-9.83767,2.09126,-17.5862,-9.9381,1.20858
-16.5971,-11.1597,8.76375,-16.7617,-11.2734,5.14747
-15.8521,-12.1948,0.196223,-16.0136,-12.3128,0.972814
-16.1903,-11.742,1.87324,-16.3541,-11.8568,9.20266
-16.3959,-11.4532,1.24884,-16.555,-11.5746,0.0623126
-16.2269,-11.6914,8.76918,-16.3868,-11.8114,1.89177
-14.7221,-13.5373,9.27746,-14.8779,-13.6633,9.36734
-14.7221,-13.5373,9.27746,-14.8708,-13.6711,4.78652
-15.3177,-12.8596,2.32389,-15.4805,-12.9767,8.29781
-15.0215,-13.2044,5.53921,-15.1668,-13.342,2.57495
-14.9356,-13.3016,0.725768,-15.0904,-13.4283,9.93823
-14.9356,-13.3016,0.725768,-15.0894,-13.4292,0.728138
-12.6816,-15.4654,9.35803,-12.8022,-15.6251,9.83206
-16.4218,-11.4161,0.0597191,-16.5899,-11.5244,1.26355
-33.8551,-8.8789,2.85543,-34.0454,-8.94216,6.6752
-33.8551,-8.8789,2.85543,-34.045,-8.94286,5.375
-31.4237,-15.4126,5.85439,-31.6141,-15.4785,5.87043
-33.8429,-8.92557,6.63431,-34.0326,-8.99047,2.87018
-30.7676,-16.684,4.73599,-30.9524,-16.7627,8.57063
-32.8908,-11.9666,2.14915,-33.0702,-12.0582,4.22188
-48.9021,-10.4206,8.41126,-49.0907,-10.4958,8.4445
-13.8413,-14.4366,14.7319,-13.9737,-14.5868,12.7793
-17.1435,-10.3006,19.6075,-17.3132,-10.4061,14.7481
-17.1435,-10.3006,19.6075,-17.3151,-10.4033,10.3491
-15.913,-12.1152,13.4925,-16.0707,-12.2382,17.7054
-15.6066,-12.5073,11.5037,-15.7624,-12.6328,16.4384
-17.1279,-10.3263,14.6002,-17.3064,-10.4177,17.6415
-16.6987,-11.0069,18.2754,-16.8591,-11.1277,18.4593
-10.9314,-16.7487,17.5486,-11.053,-16.9078,17.7203
-13.3787,-14.8664,13.6907,-13.5188,-15.0094,19.0473
-14.49,-13.7856,19.3248,-14.6442,-13.9136,19.4071
-14.49,-13.7856,19.3248,-14.6437,-13.9141,15.5756
-10.8271,-16.8158,19.3559,-10.9448,-16.978,10.7572
-14.613,-13.655,13.1666,-14.7584,-13.7921,12.3881
-10.8373,-16.8095,18.0142,-10.9448,-16.978,10.7572
-10.8373,-16.8095,18.0142,-10.9528,-16.973,18.1885
-14.6141,-13.6538,12.6216,-14.7584,-13.7921,12.3881
-14.6419,-13.6241,14.2879,-14.7983,-13.7494,12.7522
-15.1779,-13.0247,15.9073,-15.3359,-13.1471,14.9987
-31.9986,-14.1805,19.1016,-32.1758,-14.2741,15.4413
-33.6359,-9.67665,10.6253,-33.8346,-9.70901,10.6878
-31.9464,-14.2978,19.2763,-32.1248,-14.3888,19.2242
-48.6955,-11.3462,15.3285,-48.8983,-11.3579,15.3915
-67.308,-19.2255,11.7544,-67.6661,-19.428,11.8217
-67.5653,-18.3011,10.3847,-67.9561,-18.3879,16.9659
-15.1619,-13.043,25.8948,-15.3037,-13.1848,24.888
-12.002,-15.9985,23.4816,-12.1218,-16.1587,26.6586
-13.6648,-14.6039,22.982,-13.8111,-14.7409,24.8342
